autor_comentario,autor_endereco,comentario_corpo,comentario_data,comentario_titulo
Lucio B,10 contribuições,"Lugar muito bonito para se fazer uma caminhada, aproveitar o sol e descansar na beira do lago. Muitas pessoas fazendo exercícios ao ar livre. ",Feita em 3 de abril de 2019,Lugar lindo
Paulo,"Curitiba, PR","Para mim o melhor parque de Curitiba. Conta com pista para caminhada, corrida e ciclovia. Visual incrível. Ao entardecer é possível ver as capivaras.",Feita em 31 de março de 2019,Caminhada 
Lucas Cristian De Moraes,"Curitiba, PR","Um dos meus parques favoritos de Curitiba, saudades da época onde ali abrigava um parque de diversões e tinha pedalinhos pelo lago...",Feita em 31 de março de 2019,Perfeito para passear e fazer atividades físicas. 
Sueli T,"Curitiba, PR","Se você é uma daquelas pessoas que gostam de passear apreciar ótimas paisagem e ainda fazer uma caminhada ao redor do lago, o Parque Barigui é um lugar perfeito, pois você pode levar toda a família e desfrutar deste maravilhoso ambiente, pois é gratuito e você deve ir com uma roupa bem leve e tênis, o lugar te convida a fazer exercícios mesmo sem querer.",Feita em 28 de março de 2019,Descanso ao ar livre
Evelyn Oliveira Gomes,"Curitiba, PR","Amo caminhar no parque Barigui,um excelente parque,um ótimo lugar para relaxar com a família,bem localizado,de fácil acesso. lugar lindo, maravilhoso!!",Feita em 27 de março de 2019,Caminhar
Elainecrisouza,"São Paulo, SP","Muito bonito, grande, limpo. Vale a pena a visita. Tem um lago enorme com muitos peixes e até tartaruga. Tem restaurante, aluguel de bike, patinete entre outros. ",Feita em 27 de março de 2019,Excelente parque
Giselle C,"João Pessoa, PB",Lugar lindo e imenso. Espaço para piquiniques e até com churrasqueiras. Opção de restaurante e barraquinhas móveis para lanche. Programe-se para um piquinique!,Feita em 27 de março de 2019,Excelente opção de lazer.
Guilherme,"São Paulo, SP","Um parque enorme bastante frequentado por quem deseja praticar todo tipo de atividade física. Bastante gente aos finais de semana, é possível ver capivaras e várias aves no local, tem estacionamento gratuito liberado e chegando cedo você estaciona sem maiores dificuldades. É muito bonito e vale a pena a visita. Vá preparado para caminhar.",Feita em 27 de março de 2019,Enorme!
Luiz F. S. Maioli,"Santa Cruz do Sul, RS","Um grande parque rodeado de verde no meio do concreto da cidade, é um lindo lugar com espaços de convivência e para a prática esportiva. Nos arredores do lago, podem ser vistas algumas capivaras. Vale a pena conhecer.",Feita em 24 de março de 2019,Excelente
altevircecatto,"Curitiba, PR","Bem situado com pistas para andar e passear de bicicleta, com exposição feira interessantes, bom tarde para fotografar",Feita em 21 de março de 2019,O melhor Parque de Curitiba
odair,"Curitiba, PR",Por do sol numa tarde de verão co um bom vinho gelado é para poucos em Curitiba    isso deve ser vivido,Feita em 20 de março de 2019,cair da tarde
José Ricardo S,"Rio de Janeiro, RJ","simplesmente ótimo, não tem parque melhor em Curitiba, parque bem cuidado, pessoas educadas, super limpo.",Feita em 20 de março de 2019,magnífico
Thiago C,59 contribuições,"Excelente local, ambiente com a harmonização com a natureza, bom para relaxar, pensar na vida e tb realizar atividades físicas.",Feita em 19 de março de 2019,Lindo local para pensar na vida
Rodrigo Ferreira,"Macapá, AP","A paisagem é maravilhosa, o passeio vale a pena. Sem dúvida muito importante conhecer e se aventurar numa caminhada tranquila.",Feita em 17 de março de 2019,Bela vista
Laryssa,"Brasília, DF","Se estiver em dúvida sobre qual parque escolher para correr ao visitar Curitiba, esse é o lugar. Bom para correr/caminhar ou andar de bicicleta. O parque é grande e localizado num bairro muito bonito. Recomendo para quem é fitness, pois não tem muito o que fazer além de atividade física.",Feita em 13 de março de 2019,Bom para atividade Física.
Valeria  B,"Rio de Janeiro, RJ","Este e todos os parques de Curitiba, são muito limpos, local arejado e bem frequentados. Tem um ônibus que faz o passeio aos 26 pontos turísticos e este é um. Adorei",Feita em 13 de março de 2019,Ótimo para caminhar
Cláudio L,"Rio de Janeiro, RJ","Bom lugar para um bom passeio. Com alguns animais que as crianças gostam de ver. Muito bom pra uma caminha, corrida, andar de bicicleta, patins. Vá em dias de sol.",Feita em 6 de março de 2019,Bonito parque
Renato O,65 contribuições,"Sem dúvida, é o melhor parque da cidade para a prática de esportes. É completo, seguro e com possibilidade de muitas atividades ao ar livre. ",Feita em 6 de março de 2019,Melhor parque de Curitiba para a prática de esportes
dinarte z,"Concórdia, SC","ótimo local para corrida e caminhadas, com muito verde, muitos lagos, onde o ponte forte são as capivaras que ficam tomando sol durante o dia, com suas abundantes famílias.",Feita em 5 de março de 2019,"um parque lindo, com muita fauna e flora"
Alex A,"Curitiba, PR","Um parque completo, para curtir com a família, amigos ou sozinho. Tem opções para todos, bons restaurantes, uma pista de corrida com 5km, ou 3 km, muita área verde, churrasqueiras ou gramado para reunir os amigos, pistas separadas para caminhar, pedalar ou correr. Para entender este Parque tem que visitar.",Feita em 4 de março de 2019,Verdadeira Praia do Curitibano
Rose Silva,"Rio de Janeiro, RJ","O parque Barigui não é exatamente um ponto turístico. Não há infraestrutura e também não possui atrativos que possam ser destacados. Deixou a impressão de ser um bom lugar para os moradores passearem e se exercitarem. Para turismo, há outros parques mais interessantes. ",Feita em 4 de março de 2019,Bom para moradores
HACS1954,"Rio de Janeiro, RJ","Lindo local da capital paranaense, que deve ser visitado e curtido. Como quase tudo em Curitiba, é super organizad e limpo.",Feita em 4 de março de 2019,Lindo
Renato Martins,"Londrina, PR",Local bonito mas cheio de turistas e pessoal local fazendo picnic. Bom lugar para um trieno de corrida. Bonito mas com pouca estrutura para oferecer. ,Feita em 4 de março de 2019,Passeio popular
Luciana d,"Curitiba, PR","O Barigui para mim é o parque mais democrático de Curitiba, nele você pode ir passear, caminhar, correr, andar de bike. Um piquenique na grama ou um churrasquinho na estrutura local também são ótimas opções. Só que no último caso tem que chegar cedo no fim de semana para garantir a churrasqueira.",Feita em 3 de março de 2019,Parque democrático e lindo
jmhcardozo,"Porto Alegre, RS","Estar em Curitiba é poder usufruir de parques públicos bem estruturados, agradáveis, bonitos e bem frequentados e tudo isto há no lindo e grande parque Barigui. Para quem gosta de espaços abertos e de cenário mais natural ele é perfeito e neste parque sente-se, se encontra aquele q, aquela essência, que só Curitiba e sua gente tem.",Feita em 27 de fevereiro de 2019,Super agradável
edevaldocoradette,"São Paulo, SP","Parque bastante movimentado, mas que tem espaços que lhe permite ficar isolado em reflexão, da mesma forma que se quiser interagir ele abre um leque muito bom de possibilidades.",Feita em 26 de fevereiro de 2019,Bom lugar para reflexão.
José Eduardo V,"Curitiba, PR","Com certeza é o mais frequentado, tem pistar de corrida, patins, ciclismo, caminhadas, museu do automóvel, muita gente bonita. Recomendo",Feita em 25 de fevereiro de 2019,O parque mais badalado da Cidade.
Débora Boaventura,"Pinhais, PR","Lugar ideal para caminhadas, passear e conversar.",Feita em 25 de fevereiro de 2019,Sossego e agito
Eduardo K P,"Curitiba, PR","Se você gosta de parques, o Barigui deve estar na sua lista de visitas de Curitiba. É um parque grande com um grande lago que serve para amortecer as chuvas da cidade. Ótimo para caminhar ou correr, mas dependendo do horário fica um pouco complicado de passar com bike, skate, roller... mesmo com a pista exclusiva pode ficar um pouco cheio. Se quiser ver algo diferente, vá ao Tanguá, o parque é lindo, um das marcas de Curitiba.",Feita em 24 de fevereiro de 2019,"Depois de ir ao Tanguá, venha aqui"
Camila Correa,"Rio de Janeiro, RJ","Parque bonito, com muita natureza, mas se nenhum atrativos extra. Entrada e estacionamento gratuito. Vale a visitação para tirar umas fotos bonitas junto a natureza, mas não é necessário reservar grande parte do dia para esse ponto.",Feita em 22 de fevereiro de 2019,Local bonito mas sem nada para fazer
Taciana C,"Restinga Seca, RS",Um parque normal. Bom para caminhar. Com pouca sinalização. Placas informativas. Tem vários animais na beira de um lago até mesmo capivaras.,Feita em 21 de fevereiro de 2019,Bonito mas não impressionante.
Jenifer,"Guaratuba, PR","Parque lindo a aconchegante, ótimo para vir com a familia e amigos, lugar seguro e acessível, recomendo",Feita em 19 de fevereiro de 2019,Lindo
Daniel Galhardi,"Imbé, RS","Local muito agradável, limpo e organizado. Muito seguro e possui bicicletas e patinetes elétricos para locar (como toda cidade, mas ali dá um charme). Excelente para praticas esportivas.",Feita em 18 de fevereiro de 2019,Lindo
Rosicler C,"Curitiba, PR","Quem não tem praia, tem parque. Bom para caminhar, pedalar ou simplesmente ficar contemplando a paisagem e o lado. A dica para quem não conhece é fazer o percurso maior até a chaminé antiga e o bosque.",Feita em 17 de fevereiro de 2019,A praia de Curitiba
Giulia Noronha,"Recife, PE","Parque bem bonito, onde as pessoas tanto vão pra correr, praticar exercício, quanto pra sentar na grama e descontrair com os amigos.",Feita em 16 de fevereiro de 2019,Parque lindo
Suely S,31 contribuições,"O parque é bonito. Mas está sempre com cheiro de veneno. Acho que colocam algo para tratar o esgoto, e fica com um cheiro forte. Fim de semana é insuportavelmente cheio.",Feita em 13 de fevereiro de 2019,Parque Barigui
Lucas de Oliveira,"Caçador, SC","Estávamos a passeio por Curitiba e pensamos em levar nossa filha para conhecer o parque Barigui. O lugar é lindo, ótimo para caminhadas e práticas esportivas porém a nossa ideia era nossa filha de 1 ano e 11 meses brincasse em um parquinho mas não encontramos, não sei se tem mas deveria ser ao lado da academia, ficou devendo.",Feita em 13 de fevereiro de 2019,Visita
AlexGomesCWB,5 contribuições,Excelente lugar pra se exercitar e passar momentos agradáveis. Muitos gramados pra sentar e relaxar e curtir o fim de semana,Feita em 13 de fevereiro de 2019,Aquela corridinha pra manter a forma
Bia Moraes,"Curitiba, PR",É o meu parque favorito em Curitiba! Possui uma grande área para a prática de esportes ou até mesmo uma visita turística. É maravilhoso!,Feita em 11 de fevereiro de 2019,Adoro
Luiz Gaio,"Volta Redonda, RJ",Excelente para fazer caminhadas e passeios com crianças. Muito conservado e seguro. Deveriam haver mais árvores,Feita em 10 de fevereiro de 2019,Vista maravilhosa
Aivatiuk,"Curitiba, PR","Amo esse parque e pelo menos uma vez por semana vamos fazer atividade física nele! Porém é um espaço para todas as ocasiões: atividade física, piquenique, cenário lindo para foros e sem contar os animais e a beleza do por do sol que ali se pode apreciar. Se você quer ver uma capivara ali e o lugar!",Feita em 8 de fevereiro de 2019,Para todas as atividades
Mayara Pinheiro,"São João de Meriti, RJ","Lugar com manutenção em dia sem dúvida. Em momento algum vemos nenhum tipo de lixo. Fiquei encantada, recomendo.",Feita em 6 de fevereiro de 2019,Suoer bem cuidado
Ana Carolina R Mazzarollo,16 contribuições,"Limpo, organizado, muita área verde. Tem uma ciclovia que circunda o parque. Vale alugar uma bicicleta yellow para dar uma volta e conhecer todos os recantos.",Feita em 4 de fevereiro de 2019,Parque enorme super agradável 
Águeda W,"Curitiba, PR","Muito bom para práticas esportivas, para as crianças e para quem quer apenas ficar em contato com o verde da natureza mesmo estando em uma cidade grande. Existe policiamento deixando os frequentadores mais seguros. Muitos grupos escolhem o Parque Barigui para prática de yoga, Meditaçao, exercícios físicos. Fiquei encantada com um grupo que oferecia frutas para as pessoas, gratuitamente afim de fortalecer e reidratar! Notei q aos sábados pela manhã acontece mais interação no parque.",Feita em 3 de fevereiro de 2019,Central Park Curitibano
Ricardo_Czap,"Curitiba, PR","Ótimo parque para você passear com a família, crianças, sozinho, acompanhado ou como quiser rsrs também é muito bom para a prática de exercícios.",Feita em 3 de fevereiro de 2019,Parques
monego2018,149 contribuições,"local bom para passear e curtir a natureza, respirar um ar mais puro, passear no fim de semana e levar a garotada para curtir a natureza.",Feita em 31 de janeiro de 2019,lindo lugar
Ana Claudia Petri,"Curitiba, PR","Parque referência na cidade de Curitiba. Bem cuidado e com boa estrutura. Sinto falta de opções saudáveis de lanche/petiscos. Os ambulantes vendem apenas picolés, algodão doce, etc... faltam sucos naturais, frutas, etc...",Feita em 30 de janeiro de 2019,Parque maravilhoso!!!
Michelle de Oliveira,"Petrópolis, RJ","Parque muoto bonito, com um lado e muita opção de lazer. Caminhada, aluguel de bicicleta, esportes ao ar livre, piquenique, etc. Várias opções para lanche. Pássaros que pousam perto de nós,  capivaras. Vale a pena.",Feita em 27 de janeiro de 2019,Maravilhoso
LUCIANE L,21 contribuições,"O parque Barigui é um dos parquea mais frequentados de Curitiba. Muitas pessoas passeiam, outras fazem esportes, outras piquenique. Podem optar pelo voo de Helicóptero ou alugar uma bicicleta. Há também o Jardim de Mel, onde cultivam abelhas sem ferrão para conscientizar a população sobre a importância da biodiversidade.",Feita em 27 de janeiro de 2019,Parque para passeio ou esporte 
